eporch      P          R      mAP50   mAP50-95
    0   0.807      0.808      0.861      0.677
   10   0.772      0.733      0.803      0.597
   20   0.813      0.789      0.857      0.668
   30   0.830      0.825      0.882      0.702
   40   0.840      0.835      0.894      0.722
   50   0.852      0.834      0.898      0.730
   60   0.858      0.843      0.903      0.738
   70   0.863      0.837      0.905      0.741
   80   0.859      0.845      0.905      0.743
   90   0.859      0.848      0.905      0.743
  100   0.857      0.849      0.906      0.745  [best]
  110   0.852      0.854      0.906      0.745
  120   0.855      0.851      0.904      0.744
  130   0.860      0.847      0.904      0.745
  140   0.868      0.838      0.903      0.744
final   0.862      0.842      0.901      0.742
